seat	category	R_win	D_win	R_votes	D_votes
US_house_district_1	US_house	1	0	161320	95761
US_house_district_2	US_house	0	1	113015	191414
US_house_district_3	US_house	0	1	88523	163322
US_house_district_4	US_house	0	1	54486	136735
US_house_district_5	US_house	1	0	194669	112451
US_house_district_6	US_house	1	0	201367	0
US_house_district_7	US_house	0	1	91069	161903
US_house_district_8	US_house	0	1	135622	141570
state_assembly_district_1	state_assembly	1	0	13736	11888
state_assembly_district_2	state_assembly	1	0	15347	0
state_assembly_district_3	state_assembly	1	0	14657	10050
state_assembly_district_4	state_assembly	1	0	12530	9822
state_assembly_district_5	state_assembly	0	1	8522	14095
state_assembly_district_6	state_assembly	1	0	12199	8015
state_assembly_district_7	state_assembly	0	1	0	16072
state_assembly_district_8	state_assembly	0	1	0	4605
state_assembly_district_9	state_assembly	0	1	0	9910
state_assembly_district_10	state_assembly	0	1	0	13649
state_assembly_district_11	state_assembly	0	1	0	11626
state_assembly_district_12	state_assembly	0	1	0	13193
state_assembly_district_13	state_assembly	0	1	8402	15216
state_assembly_district_14	state_assembly	1	0	15687	9727
state_assembly_district_15	state_assembly	0	1	0	13969
state_assembly_district_16	state_assembly	0	1	0	10061
state_assembly_district_17	state_assembly	0	1	0	13674
state_assembly_district_18	state_assembly	0	1	0	9718
state_assembly_district_19	state_assembly	0	1	0	18638
state_assembly_district_20	state_assembly	0	1	0	15682
state_assembly_district_21	state_assembly	1	0	15110	0
state_assembly_district_22	state_assembly	0	1	0	20571
state_assembly_district_23	state_assembly	1	0	13284	10394
state_assembly_district_24	state_assembly	1	0	20171	0
state_assembly_district_25	state_assembly	0	1	8557	11163
state_assembly_district_26	state_assembly	0	1	5161	13434
state_assembly_district_27	state_assembly	1	0	19071	0
state_assembly_district_28	state_assembly	0	1	10081	10397
state_assembly_district_29	state_assembly	1	0	10474	9776
state_assembly_district_30	state_assembly	1	0	12790	9479
state_assembly_district_31	state_assembly	1	0	15494	8129
state_assembly_district_32	state_assembly	1	0	9587	8269
state_assembly_district_33	state_assembly	1	0	18617	7366
state_assembly_district_34	state_assembly	1	0	13780	10797
state_assembly_district_35	state_assembly	1	0	15592	0
state_assembly_district_36	state_assembly	1	0	10436	8834
state_assembly_district_37	state_assembly	0	1	9944	11029
state_assembly_district_38	state_assembly	1	0	15452	7771
state_assembly_district_39	state_assembly	1	0	11823	7097
state_assembly_district_40	state_assembly	1	0	10430	9380
state_assembly_district_41	state_assembly	1	0	13629	6449
state_assembly_district_42	state_assembly	1	0	10989	9535
state_assembly_district_43	state_assembly	0	1	10279	10289
state_assembly_district_44	state_assembly	0	1	5834	13204
state_assembly_district_45	state_assembly	0	1	0	13617
state_assembly_district_46	state_assembly	0	1	0	19453
state_assembly_district_47	state_assembly	1	0	12093	11939
state_assembly_district_48	state_assembly	0	1	6700	20787
state_assembly_district_49	state_assembly	0	1	8266	9254
state_assembly_district_50	state_assembly	1	0	10941	8269
state_assembly_district_51	state_assembly	0	1	9797	11169
state_assembly_district_52	state_assembly	1	0	14588	0
state_assembly_district_53	state_assembly	1	0	15775	0
state_assembly_district_54	state_assembly	0	1	8109	13351
