seat	category	R_win	D_win	R_votes	D_votes
US_house_district_1	US_house	1	0	108475	81164
US_house_district_2	US_house	0	1	103635	116377
US_house_district_3	US_house	0	1	51001	128256
US_house_district_4	US_house	0	1	76666	105841
US_house_district_5	US_house	0	1	33506	121129
US_house_district_6	US_house	1	0	144144	0
US_house_district_7	US_house	0	1	75049	115613
US_house_district_8	US_house	1	0	112418	93441
US_house_district_9	US_house	1	0	175533	0
state_assembly_district_1	state_assembly	1	0	14864	0
state_assembly_district_2	state_assembly	1	0	13348	6729
state_assembly_district_3	state_assembly	1	0	15073	0
state_assembly_district_4	state_assembly	1	0	10788	8645
state_assembly_district_5	state_assembly	0	1	8752	8983
state_assembly_district_6	state_assembly	1	0	11313	6127
state_assembly_district_7	state_assembly	0	1	0	9788
state_assembly_district_8	state_assembly	0	1	831	3801
state_assembly_district_9	state_assembly	0	1	0	11418
state_assembly_district_10	state_assembly	0	1	0	9287
state_assembly_district_11	state_assembly	0	1	0	10431
state_assembly_district_12	state_assembly	0	1	0	11012
state_assembly_district_13	state_assembly	0	1	4344	11864
state_assembly_district_14	state_assembly	1	0	14110	6750
state_assembly_district_15	state_assembly	0	1	0	10940
state_assembly_district_16	state_assembly	0	1	0	6694
state_assembly_district_17	state_assembly	0	1	0	11288
state_assembly_district_18	state_assembly	0	1	0	5716
state_assembly_district_19	state_assembly	0	1	3852	10672
state_assembly_district_20	state_assembly	0	1	6402	9845
state_assembly_district_21	state_assembly	0	1	5869	12499
state_assembly_district_22	state_assembly	0	1	6332	15562
state_assembly_district_23	state_assembly	0	1	6500	12211
state_assembly_district_24	state_assembly	1	0	18065	0
state_assembly_district_25	state_assembly	0	1	0	11893
state_assembly_district_26	state_assembly	1	0	10610	7613
state_assembly_district_27	state_assembly	1	0	10679	7901
state_assembly_district_28	state_assembly	1	0	9742	9658
state_assembly_district_29	state_assembly	0	1	6535	7615
state_assembly_district_30	state_assembly	1	0	9755	7272
state_assembly_district_31	state_assembly	1	0	11620	6299
state_assembly_district_32	state_assembly	1	0	13338	0
state_assembly_district_33	state_assembly	1	0	17577	0
