seat	category	R_win	D_win	R_votes	D_votes
US_house_district_1	US_house	1	0	231009	125268
US_house_district_2	US_house	0	1	122513	277914
US_house_district_3	US_house	0	1	122760	225208
US_house_district_4	US_house	0	1	0	222728
US_house_district_5	US_house	1	0	275271	0
US_house_district_6	US_house	1	0	221875	126090
US_house_district_7	US_house	0	1	136938	212666
US_house_district_8	US_house	0	1	164621	193662
state_assembly_district_1	state_assembly	1	0	15905	15055
state_assembly_district_2	state_assembly	0	1	14687	16008
state_assembly_district_3	state_assembly	1	0	19689	14081
state_assembly_district_4	state_assembly	1	0	15106	13520
state_assembly_district_5	state_assembly	0	1	10684	19384
state_assembly_district_6	state_assembly	1	0	14237	11631
state_assembly_district_7	state_assembly	0	1	10578	16568
state_assembly_district_8	state_assembly	0	1	0	8743
state_assembly_district_9	state_assembly	0	1	0	14070
state_assembly_district_10	state_assembly	0	1	0	22952
state_assembly_district_11	state_assembly	0	1	0	21083
state_assembly_district_12	state_assembly	0	1	0	20399
state_assembly_district_13	state_assembly	0	1	0	21963
state_assembly_district_14	state_assembly	1	0	19419	11708
state_assembly_district_15	state_assembly	0	1	10200	15652
state_assembly_district_16	state_assembly	0	1	0	19200
state_assembly_district_17	state_assembly	0	1	0	23041
state_assembly_district_18	state_assembly	0	1	0	17377
state_assembly_district_19	state_assembly	0	1	0	25281
state_assembly_district_20	state_assembly	0	1	0	19917
state_assembly_district_21	state_assembly	1	0	15679	14184
state_assembly_district_22	state_assembly	0	1	10720	21938
state_assembly_district_23	state_assembly	1	0	17804	12960
state_assembly_district_24	state_assembly	1	0	20510	12561
state_assembly_district_25	state_assembly	0	1	0	19690
state_assembly_district_26	state_assembly	0	1	8463	16046
state_assembly_district_27	state_assembly	1	0	20704	10672
state_assembly_district_28	state_assembly	0	1	13214	16407
state_assembly_district_29	state_assembly	1	0	17633	14115
state_assembly_district_30	state_assembly	1	0	19729	16278
state_assembly_district_31	state_assembly	1	0	21780	10853
state_assembly_district_32	state_assembly	1	0	13692	10928
state_assembly_district_33	state_assembly	1	0	27746	0
state_assembly_district_34	state_assembly	1	0	16300	16092
state_assembly_district_35	state_assembly	1	0	15416	11751
state_assembly_district_36	state_assembly	1	0	13064	12159
state_assembly_district_37	state_assembly	0	1	12161	17724
state_assembly_district_38	state_assembly	1	0	20294	10295
state_assembly_district_39	state_assembly	1	0	15974	10607
state_assembly_district_40	state_assembly	1	0	14741	10537
state_assembly_district_41	state_assembly	1	0	16658	9853
state_assembly_district_42	state_assembly	0	1	11304	15936
state_assembly_district_43	state_assembly	0	1	14581	15303
state_assembly_district_44	state_assembly	0	1	0	19531
state_assembly_district_45	state_assembly	0	1	10524	16053
state_assembly_district_46	state_assembly	0	1	11365	22350
state_assembly_district_47	state_assembly	1	0	15466	15443
state_assembly_district_48	state_assembly	0	1	0	27640
state_assembly_district_49	state_assembly	0	1	11793	13865
state_assembly_district_50	state_assembly	1	0	14387	11194
state_assembly_district_51	state_assembly	0	1	12026	15855
state_assembly_district_52	state_assembly	1	0	15116	10966
state_assembly_district_53	state_assembly	1	0	17872	10116
state_assembly_district_54	state_assembly	0	1	9531	18758
state_assembly_district_55	state_assembly	1	0	14259	12179
state_assembly_district_56	state_assembly	1	0	20971	14144
state_assembly_district_57	state_assembly	0	1	11560	15383
state_assembly_district_58	state_assembly	1	0	23603	0
state_assembly_district_59	state_assembly	1	0	26254	0
state_assembly_district_60	state_assembly	1	0	23282	9821
state_assembly_district_61	state_assembly	0	1	0	16267
state_assembly_district_62	state_assembly	0	1	0	17892
state_assembly_district_63	state_assembly	1	0	20172	12609
state_assembly_district_64	state_assembly	0	1	0	19739
state_assembly_district_65	state_assembly	0	1	10994	18093
state_assembly_district_66	state_assembly	1	0	17659	11799
state_assembly_district_67	state_assembly	1	0	12215	0
state_assembly_district_68	state_assembly	0	1	15165	15437
state_assembly_district_69	state_assembly	1	0	14537	9905
state_assembly_district_70	state_assembly	0	1	8495	19490
