seat	category	R_win	D_win	R_votes	D_votes
US_house_district_1	US_house	1	0	233372	116250
US_house_district_2	US_house	0	1	145810	251637
US_house_district_3	US_house	0	1	157866	204856
US_house_district_4	US_house	0	1	85928	212382
US_house_district_5	US_house	1	0	271153	129384
US_house_district_6	US_house	1	0	238620	107209
US_house_district_7	US_house	0	1	0	241306
US_house_district_8	US_house	1	0	248070	105513
state_assembly_district_1	state_assembly	1	0	19022	11890
state_assembly_district_2	state_assembly	1	0	21848	0
state_assembly_district_3	state_assembly	1	0	19894	11929
state_assembly_district_4	state_assembly	1	0	17324	10733
state_assembly_district_5	state_assembly	0	1	14249	15014
state_assembly_district_6	state_assembly	1	0	19924	0
state_assembly_district_7	state_assembly	0	1	0	21074
state_assembly_district_8	state_assembly	0	1	0	8815
state_assembly_district_9	state_assembly	0	1	0	14775
state_assembly_district_10	state_assembly	0	1	0	21516
state_assembly_district_11	state_assembly	0	1	0	19625
state_assembly_district_12	state_assembly	0	1	0	18720
state_assembly_district_13	state_assembly	0	1	13428	17765
state_assembly_district_14	state_assembly	1	0	22786	0
state_assembly_district_15	state_assembly	0	1	0	19219
state_assembly_district_16	state_assembly	0	1	0	18397
state_assembly_district_17	state_assembly	0	1	0	22063
state_assembly_district_18	state_assembly	0	1	0	17102
state_assembly_district_19	state_assembly	0	1	0	24344
state_assembly_district_20	state_assembly	0	1	10905	17285
state_assembly_district_21	state_assembly	1	0	20522	0
state_assembly_district_22	state_assembly	0	1	11495	21750
state_assembly_district_23	state_assembly	1	0	19643	0
state_assembly_district_24	state_assembly	1	0	26168	0
state_assembly_district_25	state_assembly	0	1	0	20268
state_assembly_district_26	state_assembly	0	1	0	19810
state_assembly_district_27	state_assembly	1	0	24204	0
state_assembly_district_28	state_assembly	1	0	16280	14096
state_assembly_district_29	state_assembly	1	0	16001	14577
state_assembly_district_30	state_assembly	1	0	20540	13081
state_assembly_district_31	state_assembly	1	0	20934	10041
state_assembly_district_32	state_assembly	1	0	14147	11859
state_assembly_district_33	state_assembly	1	0	24501	9426
state_assembly_district_34	state_assembly	1	0	18843	14037
state_assembly_district_35	state_assembly	1	0	15943	12173
state_assembly_district_36	state_assembly	1	0	14713	11202
state_assembly_district_37	state_assembly	1	0	17403	11677
state_assembly_district_38	state_assembly	1	0	19852	9474
state_assembly_district_39	state_assembly	1	0	18992	8334
state_assembly_district_40	state_assembly	1	0	18340	8166
state_assembly_district_41	state_assembly	1	0	18937	0
state_assembly_district_42	state_assembly	1	0	14211	12893
state_assembly_district_43	state_assembly	1	0	15960	12796
state_assembly_district_44	state_assembly	0	1	5861	16053
state_assembly_district_45	state_assembly	0	1	11034	15494
state_assembly_district_46	state_assembly	0	1	13482	18950
state_assembly_district_47	state_assembly	1	0	15678	14287
state_assembly_district_48	state_assembly	0	1	8451	25066
state_assembly_district_49	state_assembly	1	0	14921	11723
state_assembly_district_50	state_assembly	1	0	15706	7502
state_assembly_district_51	state_assembly	1	0	16387	12203
state_assembly_district_52	state_assembly	1	0	17395	8775
state_assembly_district_53	state_assembly	1	0	15764	12041
state_assembly_district_54	state_assembly	1	0	14045	12028
state_assembly_district_55	state_assembly	1	0	19662	0
state_assembly_district_56	state_assembly	1	0	24932	0
state_assembly_district_57	state_assembly	1	0	19329	0
state_assembly_district_58	state_assembly	1	0	21429	9357
state_assembly_district_59	state_assembly	1	0	25551	0
state_assembly_district_60	state_assembly	1	0	24300	0
state_assembly_district_61	state_assembly	0	1	0	17173
state_assembly_district_62	state_assembly	0	1	0	19282
state_assembly_district_63	state_assembly	1	0	23682	0
state_assembly_district_64	state_assembly	0	1	0	16340
state_assembly_district_65	state_assembly	0	1	0	18522
state_assembly_district_66	state_assembly	1	0	17834	9390
state_assembly_district_67	state_assembly	1	0	15333	11983
state_assembly_district_68	state_assembly	1	0	16665	14094
state_assembly_district_69	state_assembly	1	0	19649	0
state_assembly_district_70	state_assembly	0	1	10622	18120
state_assembly_district_71	state_assembly	0	1	0	21840
state_assembly_district_72	state_assembly	0	1	11032	17076
state_assembly_district_73	state_assembly	0	1	11309	19860
state_assembly_district_74	state_assembly	0	1	14134	16213
state_assembly_district_75	state_assembly	0	1	11711	17096
state_assembly_district_76	state_assembly	0	1	0	27270
state_assembly_district_77	state_assembly	0	1	0	26338
state_assembly_district_78	state_assembly	0	1	5122	25674
state_assembly_district_79	state_assembly	0	1	14731	21999
state_assembly_district_80	state_assembly	1	0	14577	13992
state_assembly_district_81	state_assembly	0	1	0	24938
state_assembly_district_82	state_assembly	1	0	22482	0
state_assembly_district_83	state_assembly	1	0	25972	0
state_assembly_district_84	state_assembly	1	0	25379	0
state_assembly_district_85	state_assembly	0	1	11667	15666
state_assembly_district_86	state_assembly	1	0	20038	10015
state_assembly_district_87	state_assembly	1	0	14650	12345
state_assembly_district_88	state_assembly	1	0	13174	11093
state_assembly_district_89	state_assembly	1	0	18216	10318
state_assembly_district_90	state_assembly	1	0	14289	12944
state_assembly_district_91	state_assembly	0	1	9892	18281
state_assembly_district_92	state_assembly	1	0	14885	10955
state_assembly_district_93	state_assembly	1	0	16997	15501
state_assembly_district_94	state_assembly	1	0	18051	13079
state_assembly_district_95	state_assembly	0	1	0	22879
state_assembly_district_96	state_assembly	1	0	14191	11923
state_assembly_district_97	state_assembly	1	0	20047	0
state_assembly_district_98	state_assembly	1	0	27696	0
state_assembly_district_99	state_assembly	1	0	26285	0
state_senate_district_2	state_senate	1	0	60546	0
state_senate_district_4	state_senate	0	1	0	62689
state_senate_district_6	state_senate	0	1	0	59463
state_senate_district_8	state_senate	1	0	55731	42048
state_senate_district_10	state_senate	1	0	56704	39001
state_senate_district_12	state_senate	0	1	41119	47287
state_senate_district_14	state_senate	1	0	57548	0
state_senate_district_16	state_senate	0	1	38643	58147
state_senate_district_18	state_senate	1	0	63706	0
state_senate_district_20	state_senate	1	0	75424	0
state_senate_district_22	state_senate	0	1	38644	42097
state_senate_district_24	state_senate	0	1	27926	58259
state_senate_district_26	state_senate	0	1	0	71745
state_senate_district_28	state_senate	1	0	73899	0
state_senate_district_30	state_senate	0	1	36766	44225
state_senate_district_32	state_senate	1	0	46416	41928
