seat	category	R_win	D_win	R_votes	D_votes
STATE SENATE - DISTRICT 6	state_senate	0	1	0	60543
STATE SENATE - DISTRICT 8	state_senate	1	0	76402	453
STATE SENATE - DISTRICT 10	state_senate	1	0	51911	35728
STATE SENATE - DISTRICT 12	state_senate	1	0	51176	36809
STATE SENATE - DISTRICT 14	state_senate	1	0	47137	34742
STATE SENATE - DISTRICT 16	state_senate	0	1	0	72298
STATE SENATE - DISTRICT 18	state_senate	1	0	43079	42479
STATE SENATE - DISTRICT 20	state_senate	1	0	66882	30504
STATE SENATE - DISTRICT 22	state_senate	0	1	22278	51177
STATE SENATE - DISTRICT 24	state_senate	0	1	37259	48677
STATE SENATE - DISTRICT 26	state_senate	0	1	0	87144
STATE SENATE - DISTRICT 28	state_senate	1	0	60854	35053
STATE SENATE - DISTRICT 30	state_senate	0	1	36178	42949
STATE SENATE - DISTRICT 32	state_senate	0	1	36545	51153
ASSEMBLY - DISTRICT 1	state_assembly	1	0	16993	16124
ASSEMBLY - DISTRICT 2	state_assembly	1	0	17082	12033
ASSEMBLY - DISTRICT 3	state_assembly	1	0	17387	11398
ASSEMBLY - DISTRICT 4	state_assembly	1	0	16029	12770
ASSEMBLY - DISTRICT 5	state_assembly	1	0	16117	12709
ASSEMBLY - DISTRICT 6	state_assembly	1	0	15423	10508
ASSEMBLY - DISTRICT 7	state_assembly	0	1	0	19163
ASSEMBLY - DISTRICT 8	state_assembly	0	1	0	7869
ASSEMBLY - DISTRICT 9	state_assembly	0	1	0	14635
ASSEMBLY - DISTRICT 10	state_assembly	0	1	0	20038
ASSEMBLY - DISTRICT 11	state_assembly	0	1	0	16403
ASSEMBLY - DISTRICT 12	state_assembly	0	1	0	16193
ASSEMBLY - DISTRICT 13	state_assembly	1	0	20367	13258
CONGRESSIONAL - DISTRICT 1	US_house	1	0	200423	158414
ASSEMBLY - DISTRICT 14	state_assembly	1	0	20976	14490
ASSEMBLY - DISTRICT 15	state_assembly	1	0	17745	12668
ASSEMBLY - DISTRICT 16	state_assembly	0	1	0	16881
ASSEMBLY - DISTRICT 17	state_assembly	0	1	6	20288
ASSEMBLY - DISTRICT 18	state_assembly	0	1	0	16276
ASSEMBLY - DISTRICT 19	state_assembly	0	1	0	24856
ASSEMBLY - DISTRICT 20	state_assembly	0	1	12500	16995
ASSEMBLY - DISTRICT 21	state_assembly	1	0	17403	11921
ASSEMBLY - DISTRICT 22	state_assembly	1	0	23817	0
ASSEMBLY - DISTRICT 23	state_assembly	1	0	22536	13669
CONGRESSIONAL - DISTRICT 2	US_house	0	1	124683	265422
ASSEMBLY - DISTRICT 24	state_assembly	1	0	20932	12594
ASSEMBLY - DISTRICT 25	state_assembly	1	0	16287	11947
ASSEMBLY - DISTRICT 26	state_assembly	1	0	15018	14257
ASSEMBLY - DISTRICT 27	state_assembly	1	0	18101	13148
ASSEMBLY - DISTRICT 28	state_assembly	1	0	15865	12347
ASSEMBLY - DISTRICT 29	state_assembly	1	0	15237	12004
ASSEMBLY - DISTRICT 30	state_assembly	1	0	17261	13657
ASSEMBLY - DISTRICT 31	state_assembly	1	0	16463	12653
ASSEMBLY - DISTRICT 32	state_assembly	1	0	15586	10828
ASSEMBLY - DISTRICT 33	state_assembly	1	0	18891	10229
CONGRESSIONAL - DISTRICT 3	US_house	0	1	121713	217712
ASSEMBLY - DISTRICT 34	state_assembly	1	0	19442	12297
ASSEMBLY - DISTRICT 35	state_assembly	1	0	15481	12149
ASSEMBLY - DISTRICT 36	state_assembly	1	0	15886	10997
ASSEMBLY - DISTRICT 37	state_assembly	1	0	15799	13289
ASSEMBLY - DISTRICT 38	state_assembly	1	0	19181	12795
ASSEMBLY - DISTRICT 39	state_assembly	1	0	17465	11446
ASSEMBLY - DISTRICT 40	state_assembly	1	0	21127	0
ASSEMBLY - DISTRICT 41	state_assembly	1	0	15035	10906
ASSEMBLY - DISTRICT 42	state_assembly	1	0	16394	12567
ASSEMBLY - DISTRICT 43	state_assembly	0	1	12894	17612
CONGRESSIONAL - DISTRICT 4	US_house	0	1	80787	235257
ASSEMBLY - DISTRICT 44	state_assembly	0	1	10571	16983
ASSEMBLY - DISTRICT 45	state_assembly	0	1	8906	15753
ASSEMBLY - DISTRICT 46	state_assembly	0	1	10951	20171
ASSEMBLY - DISTRICT 47	state_assembly	0	1	9054	22113
ASSEMBLY - DISTRICT 48	state_assembly	0	1	13	24375
ASSEMBLY - DISTRICT 49	state_assembly	1	0	14218	11977
ASSEMBLY - DISTRICT 50	state_assembly	1	0	12842	11945
ASSEMBLY - DISTRICT 51	state_assembly	1	0	14279	13238
ASSEMBLY - DISTRICT 52	state_assembly	1	0	16313	10575
ASSEMBLY - DISTRICT 53	state_assembly	1	0	15844	10410
CONGRESSIONAL - DISTRICT 5	US_house	1	0	250335	118478
ASSEMBLY - DISTRICT 54	state_assembly	0	1	11594	17400
ASSEMBLY - DISTRICT 55	state_assembly	1	0	19142	10202
ASSEMBLY - DISTRICT 56	state_assembly	1	0	18306	13071
ASSEMBLY - DISTRICT 57	state_assembly	0	1	668	19862
ASSEMBLY - DISTRICT 58	state_assembly	1	0	26945	0
ASSEMBLY - DISTRICT 59	state_assembly	1	0	25172	0
ASSEMBLY - DISTRICT 60	state_assembly	1	0	23905	9682
ASSEMBLY - DISTRICT 61	state_assembly	1	0	16589	13186
ASSEMBLY - DISTRICT 62	state_assembly	1	0	17045	15054
ASSEMBLY - DISTRICT 63	state_assembly	1	0	17704	12637
CONGRESSIONAL - DISTRICT 6	US_house	1	0	223460	135921
ASSEMBLY - DISTRICT 64	state_assembly	0	1	0	20264
ASSEMBLY - DISTRICT 65	state_assembly	0	1	0	18373
ASSEMBLY - DISTRICT 66	state_assembly	0	1	0	16830
ASSEMBLY - DISTRICT 67	state_assembly	1	0	15195	13325
ASSEMBLY - DISTRICT 68	state_assembly	1	0	13758	12482
ASSEMBLY - DISTRICT 69	state_assembly	1	0	15785	9998
ASSEMBLY - DISTRICT 70	state_assembly	0	1	13374	13518
ASSEMBLY - DISTRICT 71	state_assembly	0	1	11279	17619
ASSEMBLY - DISTRICT 72	state_assembly	1	0	14138	14029
ASSEMBLY - DISTRICT 73	state_assembly	0	1	0	22686
CONGRESSIONAL - DISTRICT 7	US_house	1	0	201720	157524
