seat	category	R_win	D_win	R_votes	D_votes
ASSEMBLY - DISTRICT 74	state_assembly	0	1	12911	18582
ASSEMBLY - DISTRICT 75	state_assembly	0	1	13841	14456
ASSEMBLY - DISTRICT 76	state_assembly	0	1	0	31663
ASSEMBLY - DISTRICT 77	state_assembly	0	1	0	27622
ASSEMBLY - DISTRICT 78	state_assembly	0	1	0	22853
ASSEMBLY - DISTRICT 79	state_assembly	0	1	0	24683
ASSEMBLY - DISTRICT 80	state_assembly	0	1	11771	20864
ASSEMBLY - DISTRICT 81	state_assembly	0	1	10995	17829
ASSEMBLY - DISTRICT 82	state_assembly	1	0	18032	11896
ASSEMBLY - DISTRICT 83	state_assembly	1	0	23034	9967
CONGRESSIONAL - DISTRICT 8	US_house	1	0	198874	156287
ASSEMBLY - DISTRICT 84	state_assembly	1	0	18379	10882
ASSEMBLY - DISTRICT 85	state_assembly	0	1	13025	13930
ASSEMBLY - DISTRICT 86	state_assembly	1	0	17175	13644
ASSEMBLY - DISTRICT 87	state_assembly	1	0	15680	11100
ASSEMBLY - DISTRICT 88	state_assembly	1	0	14445	13085
ASSEMBLY - DISTRICT 89	state_assembly	1	0	16081	11129
ASSEMBLY - DISTRICT 90	state_assembly	0	1	7432	11353
ASSEMBLY - DISTRICT 91	state_assembly	0	1	0	23030
ASSEMBLY - DISTRICT 92	state_assembly	0	1	50	20308
ASSEMBLY - DISTRICT 93	state_assembly	1	0	15612	15114
STATE SENATE - DISTRICT 2	state_senate	1	0	64192	0
ASSEMBLY - DISTRICT 94	state_assembly	0	1	12068	18566
ASSEMBLY - DISTRICT 95	state_assembly	0	1	0	22531
ASSEMBLY - DISTRICT 96	state_assembly	1	0	15344	10426
ASSEMBLY - DISTRICT 97	state_assembly	1	0	18399	10051
ASSEMBLY - DISTRICT 98	state_assembly	1	0	22665	9503
ASSEMBLY - DISTRICT 99	state_assembly	1	0	26314	8166
STATE SENATE - DISTRICT 4	state_senate	0	1	0	67064
