seat	category	R_win	D_win	R_votes	D_votes
US_house_district_1	US_house	1	0	140176	63895
US_house_district_2	US_house	0	1	83694	163313
US_house_district_3	US_house	0	1	69955	131038
US_house_district_4	US_house	0	1	0	122031
US_house_district_5	US_house	1	0	191224	0
US_house_district_6	US_house	1	0	169834	0
US_house_district_7	US_house	0	1	81518	146364
US_house_district_8	US_house	1	0	152745	50284
state_assembly_district_1	state_assembly	1	0	13378	7011
state_assembly_district_2	state_assembly	1	0	10920	6524
state_assembly_district_3	state_assembly	1	0	13376	0
state_assembly_district_4	state_assembly	1	0	11435	6787
state_assembly_district_5	state_assembly	1	0	8621	7909
state_assembly_district_6	state_assembly	1	0	12151	0
state_assembly_district_7	state_assembly	0	1	0	13482
state_assembly_district_8	state_assembly	0	1	0	3291
state_assembly_district_9	state_assembly	0	1	0	8254
state_assembly_district_10	state_assembly	0	1	0	10773
state_assembly_district_11	state_assembly	0	1	0	9452
state_assembly_district_12	state_assembly	0	1	4806	9541
state_assembly_district_13	state_assembly	0	1	9901	10418
state_assembly_district_14	state_assembly	1	0	16545	0
state_assembly_district_15	state_assembly	0	1	6876	9615
state_assembly_district_16	state_assembly	0	1	0	7011
state_assembly_district_17	state_assembly	0	1	0	12050
state_assembly_district_18	state_assembly	0	1	0	7832
state_assembly_district_19	state_assembly	0	1	0	12419
state_assembly_district_20	state_assembly	0	1	0	12616
state_assembly_district_21	state_assembly	0	1	5694	10777
state_assembly_district_22	state_assembly	0	1	0	16822
state_assembly_district_23	state_assembly	1	0	12260	7522
state_assembly_district_24	state_assembly	1	0	16879	0
state_assembly_district_25	state_assembly	0	1	0	12701
state_assembly_district_26	state_assembly	0	1	7821	9384
state_assembly_district_27	state_assembly	1	0	15988	0
state_assembly_district_28	state_assembly	1	0	9917	9146
state_assembly_district_29	state_assembly	0	1	6026	9596
state_assembly_district_30	state_assembly	1	0	12563	5635
state_assembly_district_31	state_assembly	1	0	13883	0
state_assembly_district_32	state_assembly	1	0	7227	5872
state_assembly_district_33	state_assembly	1	0	17040	0
state_assembly_district_34	state_assembly	1	0	12316	8267
state_assembly_district_35	state_assembly	1	0	12346	6226
state_assembly_district_36	state_assembly	1	0	10319	6514
state_assembly_district_37	state_assembly	1	0	11528	6896
state_assembly_district_38	state_assembly	1	0	10412	7428
state_assembly_district_39	state_assembly	1	0	13124	0
state_assembly_district_40	state_assembly	1	0	12115	0
state_assembly_district_41	state_assembly	1	0	13497	0
state_assembly_district_42	state_assembly	1	0	11632	0
state_assembly_district_43	state_assembly	1	0	9324	8250
state_assembly_district_44	state_assembly	0	1	0	14927
state_assembly_district_45	state_assembly	0	1	0	11480
state_assembly_district_46	state_assembly	0	1	7739	12324
state_assembly_district_47	state_assembly	1	0	11085	8481
state_assembly_district_48	state_assembly	0	1	0	16820
state_assembly_district_49	state_assembly	1	0	8779	6754
state_assembly_district_50	state_assembly	1	0	11684	0
state_assembly_district_51	state_assembly	1	0	10264	6869
state_assembly_district_52	state_assembly	1	0	12861	0
state_assembly_district_53	state_assembly	1	0	13423	0
state_assembly_district_54	state_assembly	1	0	9696	6908
state_assembly_district_55	state_assembly	1	0	12312	0
state_assembly_district_56	state_assembly	1	0	14659	0
state_assembly_district_57	state_assembly	1	0	12452	0
state_assembly_district_58	state_assembly	1	0	14032	0
state_assembly_district_59	state_assembly	1	0	14251	0
state_assembly_district_60	state_assembly	1	0	16223	0
state_assembly_district_61	state_assembly	0	1	0	9525
state_assembly_district_62	state_assembly	0	1	0	10974
state_assembly_district_63	state_assembly	1	0	15068	0
state_assembly_district_64	state_assembly	0	1	0	8693
state_assembly_district_65	state_assembly	0	1	0	10233
state_assembly_district_66	state_assembly	1	0	11858	0
state_assembly_district_67	state_assembly	1	0	10793	6809
state_assembly_district_68	state_assembly	0	1	8858	9341
state_assembly_district_69	state_assembly	1	0	11614	5315
state_assembly_district_70	state_assembly	0	1	7953	9207
state_assembly_district_71	state_assembly	0	1	4956	13056
state_assembly_district_72	state_assembly	0	1	6633	11649
state_assembly_district_73	state_assembly	0	1	7780	9727
state_assembly_district_74	state_assembly	0	1	0	13365
state_assembly_district_75	state_assembly	0	1	5374	12142
state_assembly_district_76	state_assembly	0	1	0	17205
state_assembly_district_77	state_assembly	0	1	0	17071
state_assembly_district_78	state_assembly	0	1	0	15680
state_assembly_district_79	state_assembly	0	1	10865	12311
state_assembly_district_80	state_assembly	1	0	11060	7035
state_assembly_district_81	state_assembly	0	1	6857	13186
state_assembly_district_82	state_assembly	1	0	14698	0
state_assembly_district_83	state_assembly	1	0	16932	0
state_assembly_district_84	state_assembly	1	0	16557	0
state_assembly_district_85	state_assembly	0	1	0	14079
state_assembly_district_86	state_assembly	1	0	12844	6206
state_assembly_district_87	state_assembly	1	0	10001	9686
state_assembly_district_88	state_assembly	1	0	8157	4794
state_assembly_district_89	state_assembly	1	0	11335	4501
state_assembly_district_90	state_assembly	1	0	8088	7227
state_assembly_district_91	state_assembly	0	1	5513	11691
state_assembly_district_92	state_assembly	1	0	9847	6660
state_assembly_district_93	state_assembly	1	0	13858	0
state_assembly_district_94	state_assembly	1	0	11136	7304
state_assembly_district_95	state_assembly	0	1	6004	10686
state_assembly_district_96	state_assembly	1	0	9579	5968
state_assembly_district_97	state_assembly	1	0	9236	5183
state_assembly_district_98	state_assembly	1	0	15867	0
state_assembly_district_99	state_assembly	1	0	14368	0
state_senate_district_1	state_senate	1	0	35083	20421
state_senate_district_3	state_senate	0	1	0	24431
state_senate_district_5	state_senate	1	0	31693	28021
state_senate_district_7	state_senate	0	1	0	34319
state_senate_district_9	state_senate	1	0	27858	27812
state_senate_district_11	state_senate	1	0	36603	16329
state_senate_district_13	state_senate	1	0	36359	16516
state_senate_district_15	state_senate	0	1	18281	33491
state_senate_district_17	state_senate	1	0	31462	15534
state_senate_district_19	state_senate	1	0	40737	0
state_senate_district_21	state_senate	1	0	25367	24594
state_senate_district_23	state_senate	1	0	33526	19452
state_senate_district_25	state_senate	0	1	20751	33993
state_senate_district_27	state_senate	0	1	0	46571
state_senate_district_29	state_senate	0	1	18201	38779
state_senate_district_31	state_senate	1	0	27402	26864
state_senate_district_33	state_senate	1	0	44527	0
