a,"G.A.B. Canvass Reporting System
County by County Report",c,d
,2012 PRESIDENTIAL AND GENERAL ELECTION,,
,,,
STATE SENATE - DISTRICT 33 - AMERICANS ELECT,,,
,,,
County,,Total Votes Cast,
,,,SCATTERING
WAUKESHA ,,16.0,16.0
Office Totals:,,16.0,16.0
