a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,
,,,,
District Attorney - Vernon County,,,,
,,,,
County,,Total Votes Cast,REP,
,,,TIMOTHY J. GASKELL,SCATTERING
VERNON ,,10717.0,10640.0,77.0
Office Totals:,,10717.0,10640.0,77.0
