a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,
,,,,,
CONGRESSIONAL - DISTRICT 6,,,,,
,,,,,
County,,Total Votes Cast,REP,DEM,
,,,TOM PETRI,JOE KALLAS,SCATTERING
COLUMBIA ,,28422.0,13709.0,14699.0,14.0
DODGE ,,23062.0,13573.0,9481.0,8.0
FOND DU LAC ,,49492.0,33412.0,16050.0,30.0
GREEN LAKE ,,9145.0,6091.0,3048.0,6.0
MANITOWOC ,,40375.0,25429.0,14927.0,19.0
MARQUETTE ,,7303.0,4294.0,2999.0,10.0
MILWAUKEE ,,1086.0,660.0,423.0,3.0
OZAUKEE ,,52302.0,35635.0,16607.0,60.0
SHEBOYGAN ,,58986.0,37673.0,21267.0,46.0
WAUSHARA ,,11172.0,7160.0,4009.0,3.0
WINNEBAGO ,,78400.0,45824.0,32411.0,165.0
Office Totals:,,359745.0,223460.0,135921.0,364.0
