a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f,g,h,i,j,k,l,m,n,o,p
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
President of the United States,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
County,,Total Votes Cast,REP,DEM,CON,IND,IND,IND,IND,IND,,,,IND,
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY","GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)",,,,"ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)",SCATTERING
PIERCE ,,21020.0,10397.0,10235.0,58.0,177.0,5.0,2.0,86.0,0.0,,,,0.0,60.0
POLK ,,22573.0,12094.0,10073.0,46.0,226.0,4.0,11.0,79.0,0.0,,,,0.0,40.0
PORTAGE ,,39337.0,16615.0,22075.0,73.0,309.0,7.0,5.0,143.0,2.0,,,,1.0,107.0
PRICE ,,7901.0,3884.0,3887.0,21.0,60.0,2.0,3.0,23.0,0.0,,,,0.0,21.0
RACINE ,,103364.0,49347.0,53008.0,153.0,550.0,14.0,17.0,149.0,12.0,,,,8.0,106.0
RICHLAND ,,8655.0,3573.0,4969.0,20.0,53.0,2.0,1.0,26.0,0.0,,,,0.0,11.0
ROCK ,,80690.0,30517.0,49219.0,170.0,470.0,10.0,17.0,148.0,0.0,,,,0.0,139.0
RUSK ,,7191.0,3676.0,3397.0,23.0,52.0,5.0,2.0,25.0,0.0,,,,0.0,11.0
SAUK ,,31927.0,12838.0,18736.0,34.0,179.0,4.0,4.0,66.0,1.0,,,,2.0,63.0
SAWYER ,,9025.0,4442.0,4486.0,20.0,37.0,0.0,4.0,26.0,0.0,,,,0.0,10.0
SHAWANO ,,20279.0,11022.0,9000.0,40.0,139.0,6.0,4.0,32.0,0.0,,,,0.0,36.0
SHEBOYGAN ,,62651.0,34072.0,27918.0,116.0,372.0,10.0,15.0,115.0,4.0,,,,3.0,26.0
ST. CROIX ,,46225.0,25503.0,19910.0,76.0,455.0,6.0,14.0,112.0,1.0,,,,0.0,148.0
TAYLOR ,,9512.0,5601.0,3763.0,31.0,58.0,7.0,6.0,28.0,0.0,,,,0.0,18.0
TREMPEALEAU ,,13481.0,5707.0,7605.0,23.0,82.0,3.0,5.0,41.0,0.0,,,,0.0,15.0
VERNON ,,14269.0,5942.0,8044.0,42.0,103.0,8.0,2.0,96.0,0.0,,,,0.0,32.0
VILAS ,,13842.0,7749.0,5951.0,17.0,61.0,2.0,1.0,35.0,0.0,,,,0.0,26.0
WALWORTH ,,52303.0,29006.0,22552.0,83.0,441.0,10.0,10.0,102.0,0.0,,,,0.0,99.0
WASHBURN ,,9287.0,4699.0,4447.0,13.0,79.0,3.0,1.0,25.0,0.0,,,,0.0,20.0
WASHINGTON ,,78742.0,54765.0,23166.0,122.0,435.0,10.0,7.0,139.0,4.0,,,,2.0,92.0
WAUKESHA ,,243856.0,162798.0,78779.0,297.0,1262.0,26.0,21.0,311.0,0.0,,,,1.0,361.0
WAUPACA ,,25840.0,14002.0,11578.0,45.0,142.0,7.0,5.0,49.0,2.0,,,,2.0,8.0
WAUSHARA ,,12048.0,6562.0,5335.0,29.0,64.0,4.0,7.0,27.0,0.0,,,,0.0,20.0
WINNEBAGO ,,89173.0,42122.0,45449.0,136.0,922.0,14.0,24.0,238.0,4.0,,,,5.0,259.0
WOOD ,,38900.0,19704.0,18581.0,102.0,286.0,5.0,5.0,136.0,0.0,,,,2.0,79.0
Office Totals:,,3068434.0,1407966.0,1620985.0,4930.0,20439.0,526.0,553.0,7665.0,112.0,,,,88.0,5170.0
