seat	category	R_win	D_win	R_votes	D_votes
REPRESENTATIVE IN CONGRESS DISTRICT 1	US_house	1	0	238271	163170
REPRESENTATIVE IN CONGRESS DISTRICT 2	US_house	0	1	138306	318523
REPRESENTATIVE IN CONGRESS DISTRICT 3	US_house	0	1	189524	199870
REPRESENTATIVE IN CONGRESS DISTRICT 4	US_house	0	1	70769	232668
REPRESENTATIVE IN CONGRESS DISTRICT 5	US_house	1	0	265434	175902
REPRESENTATIVE IN CONGRESS DISTRICT 6	US_house	1	0	238874	164239
REPRESENTATIVE IN CONGRESS DISTRICT 7	US_house	1	0	252048	162741
REPRESENTATIVE IN CONGRESS DISTRICT 8	US_house	1	0	268173	149558
STATE SENATOR DISTRICT 2	state_senate	1	0	80602	0
STATE SENATOR DISTRICT 4	state_senate	0	1	0	62405
STATE SENATOR DISTRICT 6	state_senate	0	1	7555	60057
STATE SENATOR DISTRICT 8	state_senate	1	0	64906	54693
STATE SENATOR DISTRICT 10	state_senate	1	0	61914	41410
STATE SENATOR DISTRICT 12	state_senate	1	0	67800	35386
STATE SENATOR DISTRICT 14	state_senate	1	0	61883	33459
STATE SENATOR DISTRICT 16	state_senate	0	1	30121	83526
STATE SENATOR DISTRICT 18	state_senate	1	0	52490	36274
STATE SENATOR DISTRICT 20	state_senate	1	0	87715	0
STATE SENATOR DISTRICT 22	state_senate	0	1	0	55214
STATE SENATOR DISTRICT 24	state_senate	1	0	53720	41419
STATE SENATOR DISTRICT 26	state_senate	0	1	0	0
STATE SENATOR DISTRICT 28	state_senate	1	0	64179	43391
STATE SENATOR DISTRICT 30	state_senate	1	0	47948	39711
STATE SENATOR DISTRICT 32	state_senate	0	1	48295	48877
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 1	state_assembly	1	0	23441	14462
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 2	state_assembly	1	0	22244	12970
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 3	state_assembly	1	0	21316	14703
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 4	state_assembly	1	0	17811	15804
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 5	state_assembly	1	0	29401	0
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 6	state_assembly	1	0	21283	9378
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 7	state_assembly	0	1	0	19431
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 8	state_assembly	1	0	2375	0
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 9	state_assembly	0	1	4458	11981
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 10	state_assembly	0	1	0	22208
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 11	state_assembly	0	1	3299	18329
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 12	state_assembly	0	1	4117	18539
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 13	state_assembly	0	1	18583	19318
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 14	state_assembly	0	1	18186	21370
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 15	state_assembly	1	0	17133	14134
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 16	state_assembly	0	1	0	17664
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 17	state_assembly	0	1	3638	22418
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 18	state_assembly	0	1	0	18775
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 19	state_assembly	0	1	7535	27552
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 20	state_assembly	0	1	0	22750
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 21	state_assembly	1	0	17729	14708
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 22	state_assembly	1	0	29508	0
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 23	state_assembly	0	1	19728	21052
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 24	state_assembly	1	0	20075	18924
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 25	state_assembly	1	0	19593	10703
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 26	state_assembly	1	0	18224	12675
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 27	state_assembly	1	0	26223	0
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28	state_assembly	1	0	21678	12230
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29	state_assembly	1	0	18961	12509
