"'Senate District ","'Composed of Assembly Districts ","'Political Party ","'Candidates ","'Vote ",
"'","'","'Rep. ","'Bruno M. Rizzo ","'25,728 ",
"'24th ","'70th, 71st, 72nd ","'Dem. ","'*Kevin W. Shibilski ","'44,933 ",
"'","'","'Tax. ","'Wayne Wiedeman ","'8,508 ",
"'26th ","'76th, 77th, 78th ","'Dem. ","'*Fred A. Risser ","'57,499 ",
"'28th ","'82nd, 83rd, 84th ","'Dem. ","'*Lynn S. Adelman ","'39,376 ",
"'","'","'Rep. ","'Lisa Soik ","'36,286 ",
"'30th ","'88th, 89th, 90th ","'Dem. ","'Barbara Lawton ","'29,872 ",
"'","'","'Rep. ","'*Gary Drzewiecki ","'32,096 ",
"'32nd ","'94th, 95th, 96th ","'Dem. ","'David Wulf ","'16,364 ",
"'","'","'Rep. ","'*Brian D. Rude ","'49,357 ",
