"'Senate District ","'Composed of Assembly Districts ","'","'Political Party ","'Candidates ","'Vote ",
"'10th ","'28th, 29th, 30th ","'","'Dem. ","'*Alice Clausing ","'36,052 ",
"'","'","'","'Rep. ","'Jay Griggs ","'30,566 ",
"'12th ","'34th, 35th, 36th ","'","'Dem. ","'*Roger Breske ","'40,220 ",
"'","'","'","'Rep. ","'Nancy Levanetz ","'29,838 ",
"'14th ","'40th, 41st, 42nd ","'","'Rep. ","'*Robert T. Welch ","'44,421 ",
"'16th ","'46th, 47th, 48th ","'","'Dem. ","'*Chuck Chvala ","'39,618 ",
"'","'","'","'Lib. ","'Mike A. Oprish ","'1,204 ",
"'","'","'","'Rep. ","'Tom Metcalfe ","'32,997 ",
"'18th ","'52nd, 53rd, 54th ","'","'Dem. ","'Fred Frederickson ","'16,614 ",
"'","'","'","'Rep. ","'Carol A. Buettner ","'46,721 ",
"'20th ","'58th, 59th, 60th ","'","'Lib. ","'Kevin Scheunemann ","'5,258 ",
"'","'","'","'Rep. ","'*Mary E. Panzer ","'54,517 ",
"'","'","'","'Tax. ","'Barry Moder ","'4,488 ",
"'22nd ","'64th, 65th, 66th ","'","'Dem. ","'Robert W. Wirch ","'33,847 ",
