"'County ","'Tom Barrett (Dem.) ","'Paul D. Melotik (Rep.) ","'James D. Soderna (Tax.) ",
"'Milwaukee (part) ","'141,179 ","'47,384 ","'3,696 ",
"'TOTAL ","'141,179 ","'47,384 ","'3,696 ",
