"'County ","'Tom Barrett (Dem.) ","'Stephen B. Hollingshead (Rep.) ","'David J. Schall (Ind.) ",
"'Milwaukee (part) ","'87,806 ","'51,145 ","'1,576 ",
"'TOTAL ","'87,806 ","'51,145 ","'1,576 ",
