"'County ","'Peter W. Barca (Dem.) ","'Edward J. Kozak (Lib.) ","'Mark W. Neumann (Rep.) ","'",
"'Green (part) ","'1,800 ","'106 ","'1,794 ","'",
"'Jefferson (part) ","'299 ","'28 ","'427 ","'",
"'Kenosha ","'21,828 ","'696 ","'17,552 ","'",
"'Racine ","'25,865 ","'931 ","'29,903 ","'",
"'Rock ","'23,985 ","'624 ","'18,740 ","'",
"'Walworth ","'7,953 ","'645 ","'13,278 ","'",
"'Waukesha (part) ","'1,087 ","'55 ","'2,243 ","'",
"'TOTAL ","'82,817 ","'3,085 ","'83,937 ","'",
