"'County ","'F. James Sensenbrenner, Jr. (Rep.) ","'",
"'Dodge (part) ","'14,288 ","'",
"'Fond du Lac (part) ","'98 ","'",
"'Jefferson (part) ","'13,459 ","'",
"'Ozaukee ","'15,197 ","'",
"'Sheboygan (part) ","'19,751 ","'",
"'Washington ","'26,918 ","'",
"'Waukesha (part) ","'51,906 ","'",
"'TOTAL ","'141,617 ","'",
