"'County ","'David R. Obey (Dem.) ","'Scott West (Rep.) ",
"'Ashland ","'3,753 3,554 ","'1,346 1,644 ",
"'Bayfield ","'2,908 ","'2,350 ",
"'Burnett ","'9,807 ","'6,097 ",
"'Chippewa (part) ","'2,204 ","'1,923 ",
"'Clark (part) ","'8,866 ","'3,846 ",
"'Douglas ","'148 ","'100 ",
"'Eau Claire (part) ","'2,141 ","'831 ",
"'Iron ","'4,701 ","'4,678 ",
"'Lincoln ","'16,822 ","'21,863 ",
"'Marathon ","'2,755 ","'1,772 ",
"'Oneida (part) ","'3,330 ","'2,229 ",
"'Polk (part) ","'9,794 ","'9,650 ",
"'Portage ","'3,802 ","'2,460 ",
"'Price ","'3,346 ","'1,869 ",
"'Rusk ","'2,036 ","'2,130 ",
"'Sawyer ","'2,860 ","'2,946 ",
"'Taylor ","'2,760 ","'2,323 ",
"'Washburn ","'","'11,649 ",
"'Wood ","'11,597 ","'",
"'TOTAL ","'97,184 ","'81,706 ",
