"'County or Part ","'Senate District ","'Democratic ","'Vote ","'Republican ","'Vote ",
"'Winnebago (part) ","'1st ","'VanderBloomen ","'41 ","'Lasee ","'118 ",
"'(part) ","'19th ","'Smith ","'5,333 ","'Ellis ","'15,986 ",
"'Wood (part) ","'23rd ","'Gordon ","'66 ","'Zien ","'168 ",
"'","'","'Special Election, May ","'2, 1995 ","'","'",
"'Adams (part) ","'24th ","'Shibilski ","'759 ","'Rozar ","'690 ",
"'Portage (part) ","'24th ","'Shibilski ","'7,309 ","'Rozar ","'4,406 ",
"'Waushara (part) ","'24th ","'Shibilski ","'123 ","'Rozar ","'115 ",
"'Wood ","'24th ","'Shibilski ","'7,732 ","'Rozar ","'6,800 ",
