"'County ","'Thomas E. Petri (Rep.) ",
"'Adams ","'3,555 385 ",
"'Brown (part) ","'7,413 ",
"'Calumet (part) ","'14,238 ",
"'Fond du Lac (part) ","'4,295 ",
"'Green Lake ","'4,887 ",
"'Juneau ","'17,845 ",
"'Manitowoc ","'3,038 ",
"'Marquette ","'5,052 ",
"'Monroe (part) ","'4,525 ",
"'Outagamie (part) ","'6,914 ",
"'Sheboygan (part) ","'9,846 ",
"'Waupaca ","'4,904 ",
"'Waushara ","'32,487 ",
"'Winnebago ","'",
"'TOTAL ","'119,384 ",
