a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f,g
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,,
,,,,,,
ASSEMBLY - DISTRICT 7,,,,,,
,,,,,,
County,,Total Votes Cast,DEM,DEM,IND,
,,,DANIEL RIEMER,PEGGY KRUSICK (WRITE-IN),TIFFANY LEE KOEHLER (WRITE-IN),SCATTERING
MILWAUKEE ,,19524.0,16664.0,2499.0,2.0,359.0
Office Totals:,,19524.0,16664.0,2499.0,2.0,359.0
