a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,
,,,,
District Attorney - Chippewa County,,,,
,,,,
County,,Total Votes Cast,REP,
,,,STEVEN H. GIBBS,SCATTERING
CHIPPEWA ,,22336.0,22143.0,193.0
Office Totals:,,22336.0,22143.0,193.0
