a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f,g
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,,
,,,,,,
STATE SENATE - DISTRICT 12,,,,,,
,,,,,,
County,,Total Votes Cast,REP,DEM,IND,
,,,TOM TIFFANY,SUSAN SOMMER,PAUL O. EHLERS,SCATTERING
FLORENCE ,,2475.0,1511.0,898.0,65.0,1.0
FOREST ,,4383.0,2215.0,2050.0,117.0,1.0
LANGLADE ,,9980.0,6092.0,3683.0,201.0,4.0
LINCOLN ,,14795.0,8414.0,6027.0,345.0,9.0
MARATHON ,,1803.0,1210.0,541.0,49.0,3.0
MARINETTE ,,9376.0,5290.0,3798.0,284.0,4.0
MENOMINEE ,,1104.0,163.0,831.0,109.0,1.0
OCONTO ,,10560.0,5946.0,4236.0,373.0,5.0
ONEIDA ,,21013.0,11084.0,8838.0,1081.0,10.0
SHAWANO ,,3545.0,2051.0,1400.0,94.0,0.0
VILAS ,,11960.0,7200.0,4507.0,246.0,7.0
Office Totals:,,90994.0,51176.0,36809.0,2964.0,45.0
