a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,
,,,,,
STATE SENATE - DISTRICT 14,,,,,
,,,,,
County,,Total Votes Cast,REP,DEM,
,,,LUTHER S. OLSEN,MARGARETE WORTHINGTON,SCATTERING
ADAMS ,,5127.0,2382.0,2740.0,5.0
COLUMBIA ,,18939.0,9645.0,9284.0,10.0
DANE ,,2197.0,1026.0,1169.0,2.0
DODGE ,,4717.0,2810.0,1905.0,2.0
FOND DU LAC ,,5916.0,3770.0,2137.0,9.0
GREEN LAKE ,,9311.0,6315.0,2989.0,7.0
JUNEAU ,,0.0,0.0,0.0,0.0
MARQUETTE ,,7672.0,4224.0,3444.0,4.0
OUTAGAMIE ,,645.0,327.0,318.0,0.0
SAUK ,,1199.0,550.0,646.0,3.0
SHAWANO ,,6.0,2.0,4.0,0.0
WAUPACA ,,20606.0,12635.0,7952.0,19.0
WAUSHARA ,,5606.0,3451.0,2154.0,1.0
Office Totals:,,81941.0,47137.0,34742.0,62.0
