a,"G.A.B. Canvass Reporting System
County by County Report",c,d
,2012 PRESIDENTIAL AND GENERAL ELECTION,,
,,,
STATE SENATE - DISTRICT 33 - DEMOCRATIC,,,
,,,
County,,Total Votes Cast,
,,,SCATTERING
WAUKESHA ,,292.0,292.0
Office Totals:,,292.0,292.0
