seat	category	R_win	D_win	R_votes	D_votes
US_house_district_1	US_house	1	0	230072	107003
US_house_district_2	US_house	0	1	124044	273537
US_house_district_3	US_house	0	1	169	257401
US_house_district_4	US_house	0	1	0	220181
US_house_district_5	US_house	1	0	260706	114477
US_house_district_6	US_house	1	0	204147	133072
US_house_district_7	US_house	1	0	223418	138643
US_house_district_8	US_house	1	0	227892	135684
state_assembly_district_1	state_assembly	1	0	20044	13289
state_assembly_district_2	state_assembly	1	0	20039	0
state_assembly_district_3	state_assembly	1	0	18361	11969
state_assembly_district_4	state_assembly	1	0	17817	12016
state_assembly_district_5	state_assembly	1	0	19941	10933
state_assembly_district_6	state_assembly	1	0	18690	7944
state_assembly_district_7	state_assembly	0	1	9212	13514
state_assembly_district_8	state_assembly	0	1	0	8528
state_assembly_district_9	state_assembly	0	1	0	12142
state_assembly_district_10	state_assembly	0	1	0	21228
state_assembly_district_11	state_assembly	0	1	0	18418
state_assembly_district_12	state_assembly	0	1	0	18642
state_assembly_district_13	state_assembly	1	0	23904	0
state_assembly_district_14	state_assembly	1	0	20001	14934
state_assembly_district_15	state_assembly	1	0	21525	0
state_assembly_district_16	state_assembly	0	1	0	18019
state_assembly_district_17	state_assembly	0	1	0	21715
state_assembly_district_18	state_assembly	0	1	0	18006
state_assembly_district_19	state_assembly	0	1	0	26732
state_assembly_district_20	state_assembly	0	1	0	21222
state_assembly_district_21	state_assembly	1	0	16589	11338
state_assembly_district_22	state_assembly	1	0	26131	0
state_assembly_district_23	state_assembly	1	0	25670	0
state_assembly_district_24	state_assembly	1	0	24047	0
state_assembly_district_25	state_assembly	1	0	17325	9305
state_assembly_district_26	state_assembly	1	0	16583	11283
state_assembly_district_27	state_assembly	1	0	18644	11501
state_assembly_district_28	state_assembly	1	0	17612	9837
state_assembly_district_29	state_assembly	1	0	16774	10661
state_assembly_district_30	state_assembly	1	0	17790	12358
state_assembly_district_31	state_assembly	1	0	18465	10348
state_assembly_district_32	state_assembly	1	0	16862	10090
state_assembly_district_33	state_assembly	1	0	18851	11246
state_assembly_district_34	state_assembly	1	0	21686	12715
state_assembly_district_35	state_assembly	1	0	18622	9564
state_assembly_district_36	state_assembly	1	0	22899	0
state_assembly_district_37	state_assembly	1	0	17821	10990
state_assembly_district_38	state_assembly	1	0	20708	12288
state_assembly_district_39	state_assembly	1	0	19028	9192
state_assembly_district_40	state_assembly	1	0	17866	9801
state_assembly_district_41	state_assembly	1	0	17711	0
state_assembly_district_42	state_assembly	1	0	16842	11867
state_assembly_district_43	state_assembly	0	1	13427	16179
state_assembly_district_44	state_assembly	0	1	0	19948
state_assembly_district_45	state_assembly	0	1	0	17867
state_assembly_district_46	state_assembly	0	1	0	24678
state_assembly_district_47	state_assembly	0	1	0	19154
state_assembly_district_48	state_assembly	0	1	0	26534
state_assembly_district_49	state_assembly	1	0	15056	11344
state_assembly_district_50	state_assembly	1	0	14774	10762
state_assembly_district_51	state_assembly	1	0	13912	13189
state_assembly_district_52	state_assembly	1	0	17293	9829
state_assembly_district_53	state_assembly	1	0	21641	0
state_assembly_district_54	state_assembly	0	1	0	17923
state_assembly_district_55	state_assembly	1	0	18393	11523
state_assembly_district_56	state_assembly	1	0	21022	11551
state_assembly_district_57	state_assembly	0	1	0	19048
state_assembly_district_58	state_assembly	1	0	25457	0
state_assembly_district_59	state_assembly	1	0	25847	0
state_assembly_district_60	state_assembly	1	0	23806	0
state_assembly_district_61	state_assembly	1	0	19622	9792
state_assembly_district_62	state_assembly	1	0	22523	0
state_assembly_district_63	state_assembly	1	0	18771	10487
state_assembly_district_64	state_assembly	0	1	0	18799
state_assembly_district_65	state_assembly	0	1	0	16112
state_assembly_district_66	state_assembly	0	1	0	13526
state_assembly_district_67	state_assembly	1	0	18574	10308
state_assembly_district_68	state_assembly	1	0	15628	11263
state_assembly_district_69	state_assembly	1	0	21443	0
state_assembly_district_70	state_assembly	1	0	16963	10266
state_assembly_district_71	state_assembly	0	1	0	21834
state_assembly_district_72	state_assembly	1	0	15972	12279
state_assembly_district_73	state_assembly	0	1	0	22107
state_assembly_district_74	state_assembly	0	1	0	22624
state_assembly_district_75	state_assembly	1	0	17786	10894
state_assembly_district_76	state_assembly	0	1	6877	33628
state_assembly_district_77	state_assembly	0	1	0	29069
state_assembly_district_78	state_assembly	0	1	0	25362
state_assembly_district_79	state_assembly	0	1	13105	23211
state_assembly_district_80	state_assembly	0	1	0	26250
state_assembly_district_81	state_assembly	0	1	11265	17270
state_assembly_district_82	state_assembly	1	0	21080	0
state_assembly_district_83	state_assembly	1	0	26596	0
state_assembly_district_84	state_assembly	1	0	21987	0
state_assembly_district_85	state_assembly	1	0	14722	12837
state_assembly_district_86	state_assembly	1	0	18246	11142
state_assembly_district_87	state_assembly	1	0	18179	8554
state_assembly_district_88	state_assembly	1	0	17742	11312
state_assembly_district_89	state_assembly	1	0	19429	9055
state_assembly_district_90	state_assembly	0	1	0	14387
state_assembly_district_91	state_assembly	0	1	11341	17780
state_assembly_district_92	state_assembly	1	0	13605	12540
state_assembly_district_93	state_assembly	1	0	24298	0
state_assembly_district_94	state_assembly	0	1	15049	16721
state_assembly_district_95	state_assembly	0	1	0	23020
state_assembly_district_96	state_assembly	1	0	16000	10186
state_assembly_district_97	state_assembly	1	0	21611	0
state_assembly_district_98	state_assembly	1	0	25592	0
state_assembly_district_99	state_assembly	1	0	28597	0
state_senate_district_2	state_senate	1	0	57269	30796
state_senate_district_4	state_senate	0	1	0	62099
state_senate_district_6	state_senate	0	1	0	60129
state_senate_district_8	state_senate	1	0	77331	0
state_senate_district_10	state_senate	1	0	56496	32863
state_senate_district_12	state_senate	1	0	57273	33713
state_senate_district_14	state_senate	1	0	47294	35555
state_senate_district_16	state_senate	0	1	0	77047
state_senate_district_18	state_senate	1	0	46076	36366
state_senate_district_20	state_senate	1	0	79743	0
state_senate_district_22	state_senate	0	1	0	50841
state_senate_district_24	state_senate	1	0	45139	41091
state_senate_district_26	state_senate	0	1	0	95246
state_senate_district_28	state_senate	1	0	70269	0
state_senate_district_30	state_senate	0	1	38175	40214
state_senate_district_32	state_senate	0	1	43524	43585
