seat	category	R_win	D_win	R_votes	D_votes
US_house_district_1	US_house	1	0	177612	88885
US_house_district_2	US_house	0	1	154632	163534
US_house_district_3	US_house	0	1	97741	173505
US_house_district_4	US_house	0	1	101811	163622
US_house_district_5	US_house	0	1	49296	173893
US_house_district_6	US_house	1	0	179205	96125
US_house_district_7	US_house	0	1	100264	173007
US_house_district_8	US_house	1	0	211388	71575
US_house_district_9	US_house	1	0	239498	83720
state_assembly_district_1	state_assembly	1	0	16132	12104
state_assembly_district_2	state_assembly	1	0	20575	0
state_assembly_district_3	state_assembly	1	0	20942	0
state_assembly_district_4	state_assembly	1	0	14912	10833
state_assembly_district_5	state_assembly	0	1	12559	14364
state_assembly_district_6	state_assembly	1	0	17287	0
state_assembly_district_7	state_assembly	0	1	7299	11403
state_assembly_district_8	state_assembly	0	1	0	7575
state_assembly_district_9	state_assembly	0	1	5863	14244
state_assembly_district_10	state_assembly	0	1	0	14427
state_assembly_district_11	state_assembly	0	1	0	16392
state_assembly_district_12	state_assembly	0	1	0	16781
state_assembly_district_13	state_assembly	0	1	0	18080
state_assembly_district_14	state_assembly	1	0	20268	0
state_assembly_district_15	state_assembly	0	1	0	15489
state_assembly_district_16	state_assembly	0	1	0	11866
state_assembly_district_17	state_assembly	0	1	0	17149
state_assembly_district_18	state_assembly	0	1	0	9760
state_assembly_district_19	state_assembly	0	1	0	18722
state_assembly_district_20	state_assembly	0	1	0	17436
state_assembly_district_21	state_assembly	0	1	10094	17434
state_assembly_district_22	state_assembly	0	1	10510	18266
state_assembly_district_23	state_assembly	0	1	0	18979
state_assembly_district_24	state_assembly	1	0	26815	0
state_assembly_district_25	state_assembly	0	1	0	18528
state_assembly_district_26	state_assembly	1	0	14458	10261
state_assembly_district_27	state_assembly	1	0	17041	8780
state_assembly_district_28	state_assembly	1	0	14312	13854
state_assembly_district_29	state_assembly	0	1	11684	12541
state_assembly_district_30	state_assembly	1	0	18303	10247
state_assembly_district_31	state_assembly	1	0	20586	0
state_assembly_district_32	state_assembly	1	0	18637	8166
state_assembly_district_33	state_assembly	1	0	27563	0
state_assembly_district_34	state_assembly	1	0	18139	11984
state_assembly_district_35	state_assembly	1	0	13655	11247
state_assembly_district_36	state_assembly	1	0	13881	10566
state_assembly_district_37	state_assembly	1	0	14867	10913
state_assembly_district_38	state_assembly	1	0	19575	6976
state_assembly_district_39	state_assembly	1	0	13568	9715
state_assembly_district_40	state_assembly	1	0	17707	0
state_assembly_district_41	state_assembly	1	0	19292	0
state_assembly_district_42	state_assembly	1	0	14263	11627
state_assembly_district_43	state_assembly	1	0	17578	8126
state_assembly_district_44	state_assembly	0	1	8799	17177
state_assembly_district_45	state_assembly	0	1	6997	14551
state_assembly_district_46	state_assembly	0	1	10105	19857
state_assembly_district_47	state_assembly	1	0	17683	12801
state_assembly_district_48	state_assembly	0	1	0	20292
state_assembly_district_49	state_assembly	1	0	11220	9973
state_assembly_district_50	state_assembly	1	0	17272	0
state_assembly_district_51	state_assembly	1	0	14998	8442
state_assembly_district_52	state_assembly	1	0	12674	10998
state_assembly_district_53	state_assembly	1	0	22476	0
state_assembly_district_54	state_assembly	1	0	15805	8086
state_assembly_district_55	state_assembly	1	0	17556	0
state_assembly_district_56	state_assembly	1	0	20244	8191
state_assembly_district_57	state_assembly	1	0	16935	0
state_assembly_district_58	state_assembly	1	0	24484	0
state_assembly_district_59	state_assembly	1	0	22729	0
state_assembly_district_60	state_assembly	1	0	25050	0
state_assembly_district_61	state_assembly	0	1	0	13703
state_assembly_district_62	state_assembly	0	1	0	16180
state_assembly_district_63	state_assembly	1	0	22640	0
state_assembly_district_64	state_assembly	0	1	0	15296
state_assembly_district_65	state_assembly	0	1	0	16051
state_assembly_district_66	state_assembly	1	0	15547	9725
state_assembly_district_67	state_assembly	1	0	16180	8585
state_assembly_district_68	state_assembly	0	1	11205	12909
state_assembly_district_69	state_assembly	1	0	15099	6491
state_assembly_district_70	state_assembly	1	0	12071	11975
state_assembly_district_71	state_assembly	0	1	7372	17512
state_assembly_district_72	state_assembly	0	1	7615	16593
state_assembly_district_73	state_assembly	0	1	10334	15266
state_assembly_district_74	state_assembly	0	1	9426	15130
state_assembly_district_75	state_assembly	0	1	9253	15120
state_assembly_district_76	state_assembly	0	1	9441	20406
state_assembly_district_77	state_assembly	0	1	0	22829
state_assembly_district_78	state_assembly	0	1	4673	19871
state_assembly_district_79	state_assembly	1	0	18510	13765
state_assembly_district_80	state_assembly	1	0	14872	8921
state_assembly_district_81	state_assembly	0	1	9680	20282
state_assembly_district_82	state_assembly	1	0	18221	10998
state_assembly_district_83	state_assembly	1	0	24329	7633
state_assembly_district_84	state_assembly	1	0	21214	0
state_assembly_district_85	state_assembly	0	1	8297	13692
state_assembly_district_86	state_assembly	1	0	15569	11984
state_assembly_district_87	state_assembly	0	1	8174	15073
state_assembly_district_88	state_assembly	1	0	11078	10898
state_assembly_district_89	state_assembly	1	0	18372	6904
state_assembly_district_90	state_assembly	0	1	11596	11653
state_assembly_district_91	state_assembly	0	1	0	17216
state_assembly_district_92	state_assembly	1	0	15611	0
state_assembly_district_93	state_assembly	1	0	18234	10844
state_assembly_district_94	state_assembly	1	0	19275	9091
state_assembly_district_95	state_assembly	0	1	11530	13789
state_assembly_district_96	state_assembly	1	0	13487	9300
state_assembly_district_97	state_assembly	0	1	7094	17357
state_assembly_district_98	state_assembly	1	0	23141	0
state_assembly_district_99	state_assembly	1	0	28405	0
state_senate_district_2	state_senate	1	0	55223	0
state_senate_district_4	state_senate	0	1	0	47980
state_senate_district_6	state_senate	0	1	0	38812
state_senate_district_8	state_senate	1	0	57041	29396
state_senate_district_10	state_senate	1	0	41694	39046
state_senate_district_12	state_senate	0	1	0	55692
state_senate_district_14	state_senate	1	0	47658	24133
state_senate_district_16	state_senate	0	1	37037	51076
state_senate_district_18	state_senate	1	0	51662	24331
state_senate_district_20	state_senate	1	0	65280	24033
state_senate_district_22	state_senate	0	1	30897	39321
state_senate_district_24	state_senate	0	1	0	55760
state_senate_district_26	state_senate	0	1	0	69258
state_senate_district_28	state_senate	1	0	61366	29519
state_senate_district_30	state_senate	0	1	35139	36298
state_senate_district_32	state_senate	0	1	38248	39865
